iter	Passed	Remaining
0	20	1986
1	23	1155
2	26	867
3	30	723
4	33	630
5	36	579
6	40	544
7	45	518
8	49	502
9	53	485
10	57	466
11	61	448
12	65	441
13	69	428
14	75	425
15	79	418
16	83	408
17	87	398
18	91	389
19	95	380
20	99	373
21	103	365
22	106	357
23	110	348
24	113	339
25	116	331
26	119	324
27	123	318
28	127	312
29	130	305
30	134	300
31	139	295
32	142	289
33	146	284
34	150	280
35	154	275
36	159	270
37	164	267
38	168	263
39	172	258
40	175	252
41	179	247
42	182	241
43	185	236
44	189	231
45	192	226
46	195	220
47	198	215
48	201	209
49	204	204
50	208	200
51	211	195
52	214	190
53	217	185
54	220	180
55	223	175
56	227	171
57	230	166
58	233	162
59	237	158
60	240	153
61	243	149
62	246	145
63	250	140
64	253	136
65	256	132
66	259	127
67	262	123
68	265	119
69	269	115
70	272	111
71	275	107
72	278	103
73	281	98
74	284	94
75	288	90
76	291	86
77	294	83
78	297	79
79	300	75
80	303	71
81	307	67
82	310	63
83	314	59
84	317	55
85	321	52
86	325	48
87	328	44
88	331	40
89	334	37
90	337	33
91	341	29
92	344	25
93	347	22
94	350	18
95	353	14
96	356	11
97	359	7
98	362	3
99	366	0
