iter	R2	RMSE	MAE
0	-1.834586535	415943.2643	335594.7613
1	-1.729538333	408163.1894	326561.1384
2	-1.632273335	400824.9325	318010.3506
3	-1.536792369	393488.1855	309715.8411
4	-1.446043318	386385.9339	302009.358
5	-1.355586539	379174.1902	293853.9881
6	-1.27462133	372600.8056	286670.5387
7	-1.194098665	365946.2596	279439.1351
8	-1.118988886	359628.0643	272674.053
9	-1.046962495	353463.1786	266287.771
10	-0.9811785449	347737.1129	260370.3583
11	-0.9164164305	342006.3572	254477.0082
12	-0.8551465842	336494.7955	248928.4361
13	-0.7987033288	331336.29	243753.5125
14	-0.7459880668	326444.8875	238815.6726
15	-0.6947193969	321616.3627	234069.4225
16	-0.6448658393	316850.5582	229501.7953
17	-0.5989169851	312393.6475	225330.5007
18	-0.555428318	308115.9897	221378.6285
19	-0.5146313847	304048.3925	217625.8063
20	-0.4762796467	300174.3314	214119.3927
21	-0.4380989506	296267.2325	210499.3515
22	-0.4020220354	292527.4704	207034.6277
23	-0.3695612003	289121.2134	204015.9369
24	-0.3360275572	285559.7177	200876.851
25	-0.3045669325	282177.5244	197942.9489
26	-0.2739400787	278845.5617	195123.7254
27	-0.2477394572	275963.2115	192725.8509
28	-0.2184238434	272702.0674	189986.658
29	-0.193947669	269949.0988	187740.5193
30	-0.169783225	267203.3696	185608.7105
31	-0.145768743	264446.4377	183497.3847
32	-0.1223359388	261728.2919	181354.8664
33	-0.1004057996	259158.6275	179366.129
34	-0.0794169268	256675.1639	177570.6502
35	-0.05935561971	254278.7825	175828.9196
36	-0.04222001726	252213.8554	174303.9013
37	-0.02497571393	250118.6198	172741.8764
38	-0.008436583354	248092.4409	171320.61
39	0.007377982326	246139.4286	169924.0371
40	0.02260631996	244244.0536	168575.4924
41	0.03722341733	242410.8169	167328.0531
42	0.0532180948	240388.7895	165917.6942
43	0.0668649762	238650.0233	164727.0292
44	0.08146690414	236775.4335	163439.5625
45	0.09439265223	235103.5596	162289.0585
46	0.1069970921	233461.7155	161295.2924
47	0.1183388828	231974.4106	160372.4519
48	0.1303315477	230391.3099	159362.8252
49	0.1405817548	229029.5504	158564.4017
50	0.1504447427	227711.546	157759.3328
51	0.1612123797	226263.8861	156863.2183
52	0.1708279817	224963.2382	156098.4228
53	0.1804311468	223656.7236	155395.2908
54	0.1896051888	222401.423	154674.2344
55	0.1986993356	221150.0222	153946.9027
56	0.207122446	219984.6093	153293.382
57	0.2148722897	218906.8687	152688.5194
58	0.2235164113	217698.4698	151976.1441
59	0.2321382011	216486.474	151217.8617
60	0.2405365468	215299.3287	150572.4195
61	0.2466157039	214435.9112	150172.9232
62	0.2530559779	213517.3958	149714.0488
63	0.2589313615	212675.9852	149221.7967
64	0.2655571487	211723.0979	148748.2455
65	0.2712249502	210904.5668	148375.0068
66	0.276833881	210091.3982	147936.5447
67	0.2821536125	209317.238	147526.2729
68	0.2878065365	208491.4394	147118.3505
69	0.2938134743	207610.3255	146683.3962
70	0.2994911034	206774.064	146225.3802
71	0.3042578657	206069.344	145878.9604
72	0.3088865552	205382.7227	145561.4408
73	0.3140011896	204621.3366	145220.39
74	0.3197266298	203765.6486	144747.8209
75	0.3242825449	203082.1744	144429.6682
76	0.3285984403	202432.5794	144130.0561
77	0.3328237277	201794.5962	143847.0863
78	0.3370276254	201157.8346	143534.8976
79	0.340704132	200599.2999	143265.0447
80	0.3446098995	200004.2271	142977.2028
81	0.3484623589	199415.5366	142699.5434
82	0.3519192549	198885.8085	142472.0091
83	0.3557092524	198303.4104	142246.7288
84	0.3588971265	197812.2112	142043.9322
85	0.3617284806	197374.9209	141870.7562
86	0.3652221245	196834.0039	141619.4466
87	0.3678690894	196423.1854	141472.3672
88	0.3713107982	195887.7313	141214.7033
89	0.3738823412	195486.6986	141075.9303
90	0.3770011519	194999.2126	140874.4822
91	0.3794681627	194612.7413	140778.0765
92	0.3822973109	194168.5922	140603.725
93	0.3859011611	193601.3467	140312.0761
94	0.3891643235	193086.2879	140088.9798
95	0.3929102735	192493.3265	139819.8505
96	0.3959094575	192017.2538	139613.385
97	0.3979996749	191684.7659	139452.3422
98	0.3997357686	191408.1689	139345.8869
99	0.4030087683	190885.6197	139062.5111
